epoch,train_loss,val_loss,val_accuracy,val_sample_precision,val_sample_recall,val_sample_f1,val_sample_jaccard,val_fitting_error,val_cosine_similarity,val_auc,learning_rate
1,0.042454928722308605,0.02095648241796033,0.9705882352941176,0.81809019904258,0.8629291593180483,0.8242335838764411,0.7258564289913497,0.0,0.9274197921709996,0.9787223352999872,0.0004550451339602676
2,0.023376769045380507,0.0178848033219024,0.9738873327108621,0.8373771730914588,0.8925222558159067,0.8503160434509642,0.7631027966742251,0.0,0.9400218812667013,0.9853863098015863,0.0004550451339602676
3,0.02045688242345305,0.016780826918504858,0.975785869903517,0.8516603678508441,0.8998477786176198,0.8622073796280146,0.7797745023935501,0.0,0.9475350803524942,0.9878734853789092,0.0004550451339602676
4,0.018734396971306022,0.01592474934107885,0.9776844070961718,0.8597392290249433,0.9046789703535736,0.8688303568859124,0.7888916183757453,0.0,0.9500565979979265,0.9885137962383375,0.0004550451339602676
5,0.017603098275879074,0.015274764016940796,0.9773627969706401,0.8552746283698665,0.9154411270681112,0.8717334913763485,0.7928846476862349,0.0,0.9521354707948098,0.9895941270715549,0.0004550451339602676
6,0.016837691147378785,0.014849612296179489,0.9768336964415396,0.8390602166792643,0.9241145964558664,0.8673958184672471,0.7859947929789199,0.0,0.9536826251285508,0.9906479393514124,0.0004550451339602676
7,0.016235446129120937,0.014499617162993346,0.9804129059031019,0.8827865961199295,0.9144509532207945,0.886806974624435,0.8160080204921475,0.0,0.9536574248434273,0.9905051766471141,0.0004550451339602676
8,0.015691920479679326,0.014374106160547368,0.9793235812843656,0.860856638951877,0.9200506004871085,0.8780600073060392,0.8023763332493491,0.0,0.9551025207392382,0.9909875414538828,0.0004550451339602676
9,0.0149364563807541,0.013928811235363206,0.9803091607013176,0.8750327538422776,0.9200298143948937,0.8859410239965796,0.8145828084320148,0.0,0.9558769133661585,0.991546703491367,0.0004550451339602676
10,0.014699573955940012,0.013968039578979923,0.9811806203963067,0.8827626606198034,0.9175331737633325,0.8889140401045165,0.8187982622903258,0.0,0.9548836172893181,0.9913844697773664,0.0004550451339602676
11,0.014323729526699264,0.013894272809503255,0.9807967631497043,0.8803653313177122,0.9161887965062568,0.8867377757457123,0.8152712690014277,0.0,0.9550810764432724,0.991467369406466,0.0004550451339602676
12,0.013884888070713636,0.01366235611260568,0.980765639589169,0.8746825396825397,0.9203827580414883,0.8858728308728309,0.8140087763500461,0.0,0.9548875579631999,0.9919898029969123,0.0004550451339602676
13,0.013611375454331743,0.013694003619569003,0.9804647785039942,0.8684908037288989,0.9240679852187789,0.8841529296688028,0.8112658520198203,0.0,0.9561808119375409,0.991733311928057,0.0004550451339602676
14,0.013288707778601149,0.013427914340029318,0.9800705467372134,0.866933736457546,0.9253859074493994,0.8841450231132773,0.8119423448391702,0.0,0.9556259706027576,0.9921095371385455,0.0004550451339602676
15,0.012985856113047286,0.01336160630145401,0.9814399834007678,0.880604686318972,0.9224153859074494,0.8899265167519136,0.8202649701856052,0.0,0.9565589388699928,0.9922113534761609,0.0004550451339602676
16,0.012741289440280591,0.01318679695268945,0.9820417055711174,0.8888775510204081,0.9209576299655664,0.8941087234341203,0.8267040396405476,0.0,0.9565942368357127,0.9922750087560699,0.0004550451339602676
17,0.012579079178877834,0.013124160660756013,0.9815956012034444,0.8906361803980851,0.9195632821029646,0.8939292688499038,0.8268413538254807,0.0,0.9563756349173181,0.9925782311199814,0.0004550451339602676
18,0.01234019766361062,0.012968952747840415,0.9813051146384479,0.8834278155706727,0.9263584446124128,0.8931139759711189,0.8255654237003442,0.0,0.9569081792766,0.9927062507203736,0.0004550451339602676
19,0.011990072226358785,0.013052085307106455,0.9815022305218384,0.8784152179390275,0.926164441085076,0.8911010887995015,0.8218476526413034,0.0,0.9571543246431938,0.9924421919510458,0.0004550451339602676
20,0.011971495043308963,0.013074809099946703,0.9816370992841581,0.8846409674981104,0.9235309061896363,0.8932589896875612,0.8251169480137734,0.0,0.9572441594577391,0.9924594108851535,0.0004550451339602676
21,0.01154388564590221,0.013068262886788164,0.9826019296607532,0.8969828672209624,0.9202952045015537,0.8981539389475898,0.8332321323591165,0.0,0.9564959966915864,0.992536647633848,0.0004550451339602676
22,0.01154646273288462,0.013511396556225403,0.9828612926652143,0.9089934492315445,0.9115423700344335,0.899354079195349,0.8351824556983287,0.0,0.9559670638616937,0.9922428759961962,0.0004550451339602676
23,0.011552125966501615,0.013204288449158113,0.9825396825396825,0.8975497606449988,0.9183828840178047,0.8972269206396192,0.831685353153607,0.0,0.9554576968982795,0.992621748485222,0.0004550451339602676
24,0.011009176887250812,0.013038109945596526,0.9827782965037867,0.8984630889392794,0.9195198202737885,0.8980916819805709,0.8329862685815067,0.0,0.9567797160114909,0.9926117608931995,0.0004550451339602676
25,0.011178949629875267,0.012807622913606268,0.9821558252930802,0.8890602166792642,0.924803896867389,0.8959694450170641,0.8297805912488452,0.0,0.957491616583867,0.9928003112002328,0.0004550451339602676
